ecotype_id,DNA_content_mean,DNA_content_sd,45S_rDNA,5S_rDNA,Centromeric_repeats,Total_TE_count,Location
992,166.871767,1.136261061,12.390413,2.281306,15.812941,1736,S
997,172.621363,2.647648602,14.173778,1.363726,20.324421,1632,S
1002,167.060385,0.784295474,12.20596,1.289854,18.971448,1470,S
1066,NA,NA,17.87806,2.413242,12.88596,1706,S
1435,164.127008,0.915382043,3.626958,1.10712,16.42648,1303,N
5830,167.231661,0.751104641,21.225687,1.506297,17.770347,1809,S
5831,170.845219,0.806449086,14.95694,1.720354,21.233727,2037,S
5832,169.093524,0.756880421,16.990712,1.677487,18.229045,1038,S
5856,177.91671,1.64544306,33.882809,2.788303,30.203668,1454,N
5867,171.055038,2.077296799,17.190766,1.890983,20.770869,1749,S
6009,171.625717,0.760615612,15.147306,3.009977,21.036761,1507,N
6012,168.417603,2.301402114,11.073612,1.655926,22.089338,1912,N
6013,170.587755,1.231313065,13.94211,2.393512,27.205272,2027,N
6016,181.605007,1.073574879,32.171366,3.648657,27.132045,1616,N
6017,176.663323,1.76610132,15.554808,2.989909,27.607401,2130,N
6019,165.024346,0.905070101,16.158445,2.001667,26.404817,2098,S
6020,164.778104,1.843566575,15.987356,2.294098,33.472458,1870,S
6021,160.67709,0.786151546,8.84818,0.895981,22.879031,1585,S
6023,166.198845,0.5859563,11.350017,1.922875,18.721385,1740,S
6024,169.641727,0.65453618,16.55321,2.247627,18.158751,970,S
6025,165.124989,0.528342974,11.678035,1.131,16.044512,1703,N
6030,168.551084,1.338327186,8.585639,1.891745,19.426797,1111,N
6034,160.765344,1.02128783,6.519777,3.282884,20.893322,2006,S
6035,167.259038,0.990357923,13.25434,2.260972,24.525052,1081,S
6036,161.010499,0.507458564,0.831029,0.347838,26.519582,1555,S
6038,160.96626,1.530821914,13.216334,1.535702,18.311654,1865,S
6039,167.687179,0.636932036,25.776478,1.752551,25.535277,1411,S
6040,165.24841,0.334813656,15.832618,1.957327,20.66713,1311,S
6041,164.023975,1.671495027,11.560262,1.122534,15.323101,1699,S
6042,NA,NA,16.013389,1.254071,15.101277,1498,S
6043,NA,NA,17.377453,2.083588,17.920397,1430,N
6046,172.899219,0.375726079,20.549217,1.630153,16.698534,1607,N
6064,164.328548,1.225773783,6.70287,1.286877,20.326965,1600,N
6069,169.726607,1.329413445,17.350572,1.619163,26.791328,2110,N
6070,171.457746,1.484777806,16.384112,2.602346,16.109116,1670,N
6071,172.006866,1.29544014,22.438861,2.983,21.141957,1581,N
6073,164.107602,1.112355582,9.035856,1.941064,24.113933,1875,S
6074,169.023133,0.312640406,17.088908,1.791973,11.722957,1126,S
6076,170.480193,1.148474041,18.424979,3.907082,23.392795,1399,S
6085,166.191849,0.604473727,10.928294,2.751208,15.829862,1630,S
6086,168.292344,3.117866649,11.19578,3.59346,29.927474,2089,S
