ecotype_id,DNA_content_mean,DNA_content_sd,Name,Lon,Lat,Country
6897,163.8677304,0.454178437,Ag-0,1.3,45,FRA
6898,167.1211546,0.247623979,An-1,4.4,51.2167,BEL
6904,163.6715916,1.515009266,Br-0,16.6166,49.2,CZE
6910,166.5757945,1.384879295,Ct-1,15,37.3,ITA
6913,165.2871,1.201535232,Eden-2,18.177,62.877,SWE
6919,163.4320386,2.438861337,Ga-0,8,50.3,GER
6920,167.8858035,0.445080172,Got-22,9.9355,51.5338,GER
6921,169.4398514,1.663939421,Got-7,9.9355,51.5338,GER
6926,160.7552905,2.716604132,Kin-0,-85.37,44.46,USA
6927,165.9688489,1.234844557,Kno-10,-86.621,41.2816,USA
6928,168.1514808,1.226172388,Kno-18,-86.621,41.2816,USA
6930,173.4371858,1.203076958,Kz-1,73.1,49.5,KAZ
6933,169.5037192,2.028241453,LL-0,2.49,41.59,ESP
6938,163.1656869,2.324587959,Ms-0,37.6322,55.7522,RUS
6940,166.0845693,1.6933231,Mz-0,8.3,50.3,GER
6941,161.9669254,1.228722593,N13,34.15,61.36,RUS
6960,159.8755786,1.404495943,Ren-11,-1.41,48.5,FRA
6962,167.7503189,0.269191835,Shahdara,68.48,38.35,TJK
6963,162.691798,0.612769192,Sorbo,68.48,38.35,TJK
6965,163.534435,1.859994255,Spr1-6,14.1576,58.4173,SWE
6968,168.9889063,1.617471082,Tamm-2,23.5,60,FIN
6969,169.8676926,1.619282851,Tamm-27,23.5,60,FIN
6970,165.9340357,0.341906767,Ts-1,2.93056,41.7194,ESP
6971,169.1154195,1.374461284,Ts-5,2.93056,41.7194,ESP
6979,165.1056104,0.784611301,Wei-0,8.26,47.25,SUI
6980,165.9269823,1.332844604,Ws-0,30,52.3,RUS
6983,164.7246679,1.143133152,Yo-0,-119.35,37.45,USA
7183,171.6875529,0.905587643,Kas-1,77,35,IN
7515,161.5978758,0.886487565,RRS-10,-86.4251,41.5609,USA
7517,168.3244959,NA,Vår2-6,14.334,55.58,SWE
7518,164.4278477,1.200584847,ÖMö2-1,15.7735,56.1509,SWE
7519,159.903408,2.30517688,ÖMö2-3,15.7735,56.1509,SWE
7522,173.7022532,1.981840262,Mr-0,9.65,44.15,ITA
7523,162.3467635,1.113134289,Pna-17,-86.3253,42.0945,USA
7526,162.4303246,0.966019584,Pna-10,-86.3253,42.0945,USA
8215,171.2332815,1.515726696,Fei-0,-8.32,40.5,POR
