ecotype_ID,ecotype_name,chr1_sweep_transposition,chr4_hk4S_knob_inversion
1,ALL1-2,swept,TRUE
2,ALL1-3,swept,TRUE
4,ALL1-5,swept,TRUE
5,ALL1-6,swept,TRUE
6,ALL1-7,swept,TRUE
7,ALL1-8,swept,TRUE
8,ALL1-9,swept,TRUE
9,ALL2-1,swept,TRUE
12,ALL2-4,swept,TRUE
23,CAM-16,swept,TRUE
32,CAM-25,swept,TRUE
45,CAM-42,swept,TRUE
48,CAM-45,swept,TRUE
51,CAM-48,swept,TRUE
60,CAM-56,swept,TRUE
62,CAM-58,swept,TRUE
66,CAM-61,swept,TRUE
69,CAM-64,swept,TRUE
74,CAM-7,swept,TRUE
77,CLA-7,swept,TRUE
79,CUR-10,swept,TRUE
80,CUR-2,swept,TRUE
81,CUR-3,swept,TRUE
82,CUR-4,swept,TRUE
83,CUR-5,swept,TRUE
84,CUR-6,swept,TRUE
85,CUR-7,swept,TRUE
86,CUR-8,swept,TRUE
87,CUR-9,swept,TRUE
88,CYR,swept,TRUE
89,DAM1,swept,TRUE
91,JEA,un_swept,TRUE
94,LAC-3,swept,TRUE
96,LAC-5,swept,TRUE
104,LDV-14,swept,TRUE
106,LDV-16,swept,TRUE
116,LDV-25,swept,TRUE
121,LDV-3,swept,TRUE
122,LDV-30,swept,TRUE
123,LDV-31,swept,TRUE
126,LDV-34,swept,TRUE
137,LDV-44,swept,TRUE
146,LDV-53,swept,TRUE
148,LDV-57,swept,TRUE
149,LDV-58,swept,TRUE
151,LDV-6,swept,TRUE
153,LDV-68,swept,TRUE
156,LDV-70,swept,TRUE
157,LDV-8,swept,TRUE
159,MAR2-3,swept,TRUE
160,MIB-1,swept,TRUE
162,MIB-100,swept,TRUE
163,MIB-11,swept,TRUE
165,MIB-14,swept,TRUE
166,MIB-15,swept,TRUE
167,MIB-16,swept,TRUE
168,MIB-17,swept,TRUE
169,MIB-19,swept,FALSE
170,MIB-2,swept,TRUE
171,MIB-20,swept,TRUE
173,MIB-22,swept,TRUE
174,MIB-23,swept,FALSE
175,MIB-24,swept,TRUE
178,MIB-28,swept,FALSE
179,MIB-29,swept,TRUE
183,MIB-32,swept,TRUE
184,MIB-33,swept,TRUE
185,MIB-34,swept,FALSE
186,MIB-35,swept,FALSE
187,MIB-36,swept,TRUE
188,MIB-37,swept,TRUE
190,MIB-39,swept,TRUE
191,MIB-40,swept,TRUE
194,MIB-43,swept,TRUE
196,MIB-47,swept,TRUE
198,MIB-50,swept,TRUE
200,MIB-54,swept,TRUE
201,MIB-55,swept,TRUE
202,MIB-57,swept,TRUE
203,MIB-58,swept,TRUE
204,MIB-60,swept,FALSE
205,MIB-61,swept,TRUE
206,MIB-62,swept,FALSE
207,MIB-63,swept,TRUE
208,MIB-64,swept,TRUE
210,MIB-67,swept,TRUE
212,MIB-69,swept,TRUE
213,MIB-70,swept,FALSE
214,MIB-73,swept,TRUE
215,MIB-75,swept,TRUE
216,MIB-76,swept,FALSE
217,MIB-77,swept,TRUE
219,MIB-80,swept,FALSE
222,MIB-83,swept,TRUE
223,MIB-84,swept,FALSE
224,MIB-86,swept,TRUE
225,MIB-87,swept,TRUE
227,MIB-89,swept,TRUE
228,MIB-9,swept,TRUE
229,MIB-90,swept,TRUE
230,MIB-92,swept,TRUE
231,MIB-93,swept,TRUE
236,MOG-11,swept,TRUE
237,MOG-12,swept,TRUE
242,MOG-37,swept,TRUE
244,MOG-40,swept,TRUE
252,MOG-55,swept,TRUE
257,PAR-10,swept,TRUE
258,PAR-3,swept,TRUE
259,PAR-4,swept,TRUE
260,PAR-5,swept,TRUE
261,PAR-6,swept,TRUE
262,PAR-8,swept,TRUE
263,PAR-9,swept,TRUE
264,PON,swept,TRUE
266,RAN,swept,TRUE
267,ROM-1,swept,TRUE
268,ROM-2,swept,TRUE
269,ROM-9,swept,TRUE
273,TOU-A1-105,swept,TRUE
275,TOU-A1-109,swept,TRUE
277,TOU-A1-111,swept,TRUE
278,TOU-A1-112,swept,TRUE
280,TOU-A1-114,swept,TRUE
281,TOU-A1-115,swept,TRUE
282,TOU-A1-116,swept,TRUE
283,TOU-A1-117,swept,TRUE
287,TOU-A1-120,swept,TRUE
288,TOU-A1-122,swept,TRUE
290,TOU-A1-124,swept,TRUE
291,TOU-A1-125,swept,TRUE
292,TOU-A1-128,swept,TRUE
293,TOU-A1-129,swept,TRUE
295,TOU-A1-131,swept,TRUE
296,TOU-A1-133,swept,TRUE
297,TOU-A1-134,swept,TRUE
298,TOU-A1-137,swept,TRUE
302,TOU-A1-143,swept,TRUE
306,TOU-A1-18,swept,TRUE
309,TOU-A1-23,swept,TRUE
310,TOU-A1-26,swept,TRUE
311,TOU-A1-27,swept,TRUE
314,TOU-A1-33,swept,TRUE
316,TOU-A1-37,swept,TRUE
318,TOU-A1-39,swept,TRUE
320,TOU-A1-41,swept,TRUE
321,TOU-A1-43,swept,TRUE
322,TOU-A1-45,swept,TRUE
323,TOU-A1-47,swept,TRUE
326,TOU-A1-60,swept,TRUE
327,TOU-A1-61,swept,TRUE
328,TOU-A1-62,swept,TRUE
329,TOU-A1-63,swept,TRUE
331,TOU-A1-65,swept,TRUE
332,TOU-A1-66,swept,TRUE
334,TOU-A1-68,swept,TRUE
335,TOU-A1-69,swept,TRUE
337,TOU-A1-70,swept,TRUE
338,TOU-A1-73,swept,TRUE
339,TOU-A1-74,swept,TRUE
340,TOU-A1-75,swept,TRUE
341,TOU-A1-77,swept,TRUE
343,TOU-A1-79,swept,TRUE
346,TOU-A1-81,swept,TRUE
347,TOU-A1-82,swept,TRUE
348,TOU-A1-84,swept,TRUE
349,TOU-A1-85,swept,TRUE
355,TOU-A1-93,swept,TRUE
357,TOU-A1-96,swept,TRUE
359,TOU-A1-98,swept,TRUE
360,TOU-C-1,swept,TRUE
361,TOU-C-2,swept,TRUE
362,TOU-C-3,swept,TRUE
363,TOU-D-1,swept,TRUE
364,TOU-D-5,swept,TRUE
366,TOU-E-11,swept,TRUE
367,TOU-E-2,swept,TRUE
368,TOU-E-7,swept,TRUE
369,TOU-F-1,swept,TRUE
371,TOU-G-1,swept,TRUE
372,TOU-H-10,swept,TRUE
373,TOU-H-12,swept,TRUE
374,TOU-H-13,swept,TRUE
375,TOU-H-3,swept,TRUE
377,TOU-I-1,swept,TRUE
378,TOU-I-17,swept,TRUE
379,TOU-I-2,swept,TRUE
380,TOU-I-6,swept,TRUE
383,TOU-J-3,swept,TRUE
385,TOU-K-2,swept,TRUE
386,TOU-K-3,swept,TRUE
387,TOU-L-10,swept,TRUE
388,TOU-L-17,swept,TRUE
389,TOU-L-5,swept,TRUE
390,VOU-1,swept,TRUE
391,VOU-10,swept,TRUE
392,VOU-2,swept,TRUE
393,VOU-4,swept,TRUE
394,VOU-5,swept,TRUE
395,VOU-6,swept,TRUE
396,VOU-7,swept,TRUE
397,VOU-8,swept,TRUE
402,Zdarec2,swept,TRUE
403,Zdarec3,swept,TRUE
404,Doubravnik1,swept,TRUE
407,Doubravnik4,swept,TRUE
409,Doubravnik6,swept,TRUE
413,Doubravnik10,swept,TRUE
417,Doubravnik14,swept,TRUE
421,Doubravnik18,swept,TRUE
424,Draha2,swept,TRUE
428,Borky1,swept,TRUE
429,Borky2,swept,TRUE
461,EM-183,swept,TRUE
466,EM-134,swept,TRUE
607,LI-OF-002,swept,TRUE
615,LI-OF-023,swept,TRUE
623,LI-OF-042,swept,TRUE
627,LI-OF-060,swept,TRUE
631,LI-OF-066,swept,TRUE
640,LI-OF-094,swept,TRUE
641,LI-OF-095,swept,TRUE
719,LI-SET-009,swept,TRUE
827,KYF-21,swept,TRUE
895,MAW-7,swept,TRUE
936,FOR-5,swept,TRUE
946,CON-6,swept,TRUE
957,Belmonte-4-94,swept,TRUE
991,Ale-Stenar-41-1,swept,TRUE
992,Ale-Stenar-44-4,swept,TRUE
996,Ale-Stenar-50-11,swept,TRUE
997,Ale-Stenar-56-14,swept,TRUE
998,Ale-Stenar-57-16,swept,TRUE
999,Ale-Stenar-59-18,swept,TRUE
1002,Ale-Stenar-64-24,swept,FALSE
1006,Ale-Stenar-77-31,swept,TRUE
1026,VM-12,swept,TRUE
1061,BrÃ¶sarp-11-135,swept,TRUE
1062,BrÃ¶sarp-15-138,swept,TRUE
1063,BrÃ¶sarp-21-140,swept,TRUE
1064,BrÃ¶sarp-25-142,swept,TRUE
1068,BrÃ¶sarp-37-149,swept,TRUE
1070,BrÃ¶sarp-45-153,swept,TRUE
1072,BrÃ¶sarp-51-157,swept,TRUE
1073,BrÃ¶sarp-53-159,swept,TRUE
1075,BrÃ¶sarp-63-163,swept,TRUE
1132,GÃ¥rdby-17-198,swept,TRUE
1153,Aledal-1-34,swept,TRUE
1158,Aledal-6-49,swept,TRUE
1163,Aledal-11-63,swept,TRUE
1166,Aledal-14-73,swept,TRUE
1169,Aledal-17-82,swept,TRUE
1247,Tos-31-374,swept,TRUE
1254,Tos-82-387,swept,TRUE
1256,Tos-93-391,swept,TRUE
1257,Tos-95-393,swept,TRUE
1312,Ã„ngsÃ¶-57-419,swept,TRUE
1313,Ã„ngsÃ¶-59-422,swept,TRUE
1317,Ã„ngsÃ¶-74-430,swept,TRUE
1318,Ã„ngsÃ¶-80-432,swept,TRUE
1360,Ham-2-228,swept,TRUE
1362,Ham-6-232,swept,TRUE
1363,Ham-7-233,swept,TRUE
1366,Ham-10-239,swept,TRUE
1374,Ham-27-256,swept,TRUE
1391,Stabby-13,swept,TRUE
1404,Stabby-26,swept,TRUE
1409,RÃ¶d-38,swept,TRUE
1416,RÃ¶d-45,swept,TRUE
1435,RÃ¶d-17-319,swept,FALSE
1552,Sku-30,swept,TRUE
1585,Hen-16-268,swept,TRUE
1716,KBS-Mac-8,swept,FALSE
1718,KBS-Mac-15,swept,FALSE
1719,KBS-Mac-16,swept,FALSE
1720,KBS-Mac-17,swept,TRUE
