accession ID,coverage,% reads mapped,kmer size used for assembly,total length of scaffolds and singletons,contig N50,scaffold N50,length of reference that is well-aligned with contigs
992,18.67,93.75%,33,110530270,2128,11394,92372567
997,13.66,94.09%,33,110427975,1785,14004,93532684
1002,14.65,95.89%,33,109931250,2305,15175,94452544
1066,22.83,94.57%,41,111260493,3060,14139,96020975
1435,31.61,96.40%,41,112476308,3470,26429,102384883
5830,20.28,90.48%,33,110383027,2249,17308,94228399
5831,21.75,82.97%,33,109506490,1686,7450,90959450
5832,28.02,90.36%,41,109639472,3241,6926,95176283
5856,15.29,78.73%,33,97803041,859,3657,78984943
5867,24.24,90.34%,33,109228859,2610,12509,95041136
6009,14.55,88.73%,33,107031403,1461,10890,91559193
6012,22.1,93.86%,33,111038560,3606,26859,96247529
6013,22.12,83.93%,33,125040500,2084,8440,93181692
6016,15.97,90.66%,33,99704095,1243,5780,79965411
6017,35.34,94.46%,41,113638382,5673,44226,98811475
6019,19.53,76.93%,33,108659399,1791,9524,91516723
6020,20.64,78.20%,33,107855391,1856,10025,92373057
6021,22.55,92.47%,41,112222197,2851,21297,98418298
6023,21.26,92.35%,41,110805960,2500,15754,97351234
6024,24.22,81.15%,33,106611536,1251,4173,87924024
6025,21.05,93.08%,41,110733860,2691,14762,97264471
6030,11.88,63.20%,33,101247066,437,2550,71599222
6034,19.88,94.29%,33,110950195,3001,19964,96116722
6035,10.26,72.18%,33,93558125,500,1848,71360586
6036,13.46,90.90%,33,100214632,1153,3319,86388983
6038,29.08,94.69%,33,111243542,4068,30651,97086501
6039,19.92,81.14%,33,96607019,1254,5079,78565606
6040,13.33,90.19%,33,106454337,1313,8771,89834478
6041,19.55,94.54%,41,113583317,3158,27350,99843090
6042,21.88,77.11%,41,114259392,680,5442,91034958
6043,15.7,91.37%,27,150892135,429,1183,66927380
6046,9.94,50.18%,33,101848452,1404,6241,82462775
6064,15.23,90.02%,33,103359735,1376,7528,84077190
6069,22.83,86.45%,33,108400075,2444,11106,93352801
6070,17.82,88.85%,33,109359840,2494,12412,94811397
6071,20.22,88.68%,33,108647648,2641,11047,94641617
6073,25.99,90.87%,33,137474383,3033,21229,96724785
6074,12.76,89.65%,33,108117386,1395,10056,91884556
6076,14.64,51.90%,33,98808014,1334,5408,79241489
6085,28.5,92.54%,33,124587884,3377,21058,97239459
6086,32.22,95.00%,33,111922425,3909,35709,96617583
6088,22.78,89.76%,33,109452511,3027,14078,96401229
6090,22.59,92.97%,33,116566512,3241,21624,96286975
6092,16.11,48.17%,33,130301589,1509,4697,72990299
6097,29.44,94.25%,33,112380280,4172,32940,97238922
6098,30.63,94.72%,33,111817775,3833,23760,96638311
6099,24.54,88.25%,33,109181160,2601,13602,95462109
6100,24.36,85.63%,33,109850990,2787,16046,96082919
6102,21.63,84.87%,33,107063226,2027,10404,91684830
6104,27.17,87.31%,33,110668313,3540,19384,96781896
6106,22.17,87.24%,41,111053225,2315,14721,96161894
6107,23.22,86.33%,33,109608190,2870,14576,95745115
6108,20.43,89.53%,33,110214133,3125,13919,96106809
